instructionform,timing_z80,timing_z80_m1,timing_r800,timing_r800_wait,opcode,size
"LD HL,(nn)",16,17,5,7,2A nn nn,3
"LD HL,nn",10,11,3,3,21 nn nn,3
"LD I,A",9,11,2,2,ED 47,2
"LD IX,(nn)",20,22,6,8,DD 2A nn nn,4
"LD IX,nn",14,16,4,4,DD 21 nn nn,4
"LD IXh,n",11,13,3,3,DD 26 n,3
"LD IXh,p",8,10,2,2,DD 60+p,2
"LD IXl,n",11,13,3,3,DD 2E n,3
"LD IXl,p",8,10,2,2,DD 68+p,2
"LD IY,(nn)",20,22,6,8,FD 2A nn nn,4
"LD IY,nn",14,16,4,4,FD 21 nn nn,4
"LD IYh,n",11,13,3,3,FD 26 n,3
"LD IYh,q",8,10,2,2,FD 60+q,2
"LD IYl,n",11,13,3,3,FD 2E n,3
"LD IYl,q",8,10,2,2,FD 68+q,2
"LD L,(HL)",7,8,2,4,6E,1
"LD L,(IX+o)",19,21,5,7,DD 6E o,3
"LD L,(IY+o)",19,21,5,7,FD 6E o,3
"LD L,n",7,8,2,2,2E n,2
"LD L,r",4,5,1,1,68+r,1
"LD R,A",9,11,2,2,ED 4F,2
"LD SP,(nn)",20,22,6,8,ED 7B nn nn,4
"LD SP,HL",6,7,1,1,F9,1
"LD SP,IX",10,12,2,2,DD F9,2
"LD SP,IY",10,12,2,2,FD F9,2
"LD SP,nn",10,11,3,3,31 nn nn,3
LDD,16,18,4,7,ED A8,2
LDDR,21/16,23/18,4,?/7,ED B8,2
LDI,16,18,4,7,ED A0,2
LDIR,21/16,23/18,4,?/7,ED B0,2
"MULUB A,r",,,14,14,ED C1+8*r,2
"MULUW HL,BC",,,36,36,ED C3,2
"MULUW HL,SP",,,36,36,ED F3,2
NEG,8,10,2,2,ED 44,2
NOP,4,5,1,1,0,1
OR (HL),7,8,2,4,B6,1
OR (IX+o),19,21,5,7,DD B6 o,3
OR (IY+o),19,21,5,7,FD B6 o,3
OR n,7,8,2,2,F6 n,2
OR r,4,5,1,1,B0+r,1
OR IXp,8,10,2,2,DD B0+p,2
OR IYq,8,10,2,2,FD B0+q,2
OTDR,21/16,23/18,4/3,?/12/11³,ED BB,2
OTIR,21/16,23/18,4/3,?/12/11³,ED B3,2
"OUT (C),A",12,14,3,10/9³,ED 79,2
"OUT (C),B",12,14,3,10/9³,ED 41,2
"OUT (C),C",12,14,3,10/9³,ED 49,2
"OUT (C),D",12,14,3,10/9³,ED 51,2
"OUT (C),E",12,14,3,10/9³,ED 59,2
"OUT (C),H",12,14,3,10/9³,ED 61,2
"OUT (C),L",12,14,3,10/9³,ED 69,2
"OUT (n),A",11,12,3,10/9³,D3 n,2
OUTD,16,18,4,12/11³,ED AB,2
OUTI,16,18,4,12/11³,ED A3,2
POP AF,10,11,3,5,F1,1
POP BC,10,11,3,5,C1,1
POP DE,10,11,3,5,D1,1
POP HL,10,11,3,5,E1,1
POP IX,14,16,4,6,DD E1,2
POP IY,14,16,4,6,FD E1,2
PUSH AF,11,12,4,6,F5,1
PUSH BC,11,12,4,6,C5,1
PUSH DE,11,12,4,6,D5,1
PUSH HL,11,12,4,6,E5,1
PUSH IX,15,17,5,7,DD E5,2
PUSH IY,15,17,5,7,FD E5,2
"RES b,(HL)",15,17,5,8,CB 86+8*b,2
"RES b,(IX+o)",23,25,7,10,DD CB o 86+8*b,4
"RES b,(IY+o)",23,25,7,10,FD CB o 86+8*b,4
"RES b,r",8,10,2,2,CB 80+8*b+r,2
RET,10,11,3,5,C9,1
RET C,11/5,12/6,3/1,5/1,D8,1
RET M,11/5,12/6,3/1,5/1,F8,1
RET NC,11/5,12/6,3/1,5/1,D0,1
RET NZ,11/5,12/6,3/1,5/1,C0,1
RET P,11/5,12/6,3/1,5/1,F0,1
RET PE,11/5,12/6,3/1,5/1,E8,1
RET PO,11/5,12/6,3/1,5/1,E0,1
RET Z,11/5,12/6,3/1,5/1,C8,1
RETI,14,16,5,7,ED 4D,2
RETN,14,16,5,7,ED 45,2
RL (HL),15,17,5,8,CB 16,2
RL (IX+o),23,25,7,10,DD CB o 16,4
RL (IY+o),23,25,7,10,FD CB o 16,4
RL r,8,10,2,2,CB 10+r,2
RLA,4,5,1,1,17,1
RLC (HL),15,17,5,8,CB 06,2
RLC (IX+o),23,25,7,10,DD CB o 06,4
RLC (IY+o),23,25,7,10,FD CB o 06,4
RLC r,8,10,2,2,CB 00+r,2
RLCA,4,5,1,1,7,1
RLD,18,20,5,8,ED 6F,2
RR (HL),15,17,5,8,CB 1E,2
RR (IX+o),23,25,7,10,DD CB o 1E,4
RR (IY+o),23,25,7,10,FD CB o 1E,4
RR r,8,10,2,2,CB 18+r,2
RRA,4,5,1,1,1F,1
RRC (HL),15,17,5,8,CB 0E,2
RRC (IX+o),23,25,7,10,DD CB o 0E,4
RRC (IY+o),23,25,7,10,FD CB o 0E,4
RRC r,8,10,2,2,CB 08+r,2
RRCA,4,5,1,1,0F,1
RRD,18,20,5,8,ED 67,2
RST 0,11,12,4,6/7²,C7,1
RST 8H,11,12,4,6/7²,CF,1
RST 10H,11,12,4,6/7²,D7,1
RST 18H,11,12,4,6/7²,DF,1
RST 20H,11,12,4,6/7²,E7,1
RST 28H,11,12,4,6/7²,EF,1
RST 30H,11,12,4,6/7²,F7,1
RST 38H,11,12,4,6/7²,FF,1
"SBC A,(HL)",7,8,2,4,9E,1
"SBC A,(IX+o)",19,21,5,7,DD 9E o,3
"SBC A,(IY+o)",19,21,5,7,FD 9E o,3
"SBC A,n",7,8,2,2,DE n,2
"SBC A,r",4,5,1,1,98+r,1
"SBC A,IXp",8,10,2,2,DD 98+p,2
"SBC A,IYq",8,10,2,2,FD 98+q,2
"SBC HL,BC",15,17,2,2,ED 42,2
"SBC HL,DE",15,17,2,2,ED 52,2
"SBC HL,HL",15,17,2,2,ED 62,2
"SBC HL,SP",15,17,2,2,ED 72,2
SCF,4,5,1,1,37,1
"SET b,(HL)",15,17,5,8,CB C6+8*b,2
"SET b,(IX+o)",23,25,7,10,DD CB o C6+8*b,4
"SET b,(IY+o)",23,25,7,10,FD CB o C6+8*b,4
"SET b,r",8,10,2,2,CB C0+8*b+r,2
SLA (HL),15,17,5,8,CB 26,2
SLA (IX+o),23,25,7,10,DD CB o 26,4
SLA (IY+o),23,25,7,10,FD CB o 26,4
SLA r,8,10,2,2,CB 20+r,2
SRA (HL),15,17,5,8,CB 2E,2
SRA (IX+o),23,25,7,10,DD CB o 2E,4
SRA (IY+o),23,25,7,10,FD CB o 2E,4
SRA r,8,10,2,2,CB 28+r,2
SRL (HL),15,17,5,8,CB 3E,2
SRL (IX+o),23,25,7,10,DD CB o 3E,4
SRL (IY+o),23,25,7,10,FD CB o 3E,4
SRL r,8,10,2,2,CB 38+r,2
SUB (HL),7,8,2,4,96,1
SUB (IX+o),19,21,5,7,DD 96 o,3
SUB (IY+o),19,21,5,7,FD 96 o,3
SUB n,7,8,2,2,D6 n,2
SUB r,4,5,1,1,90+r,1
SUB IXp,8,10,2,2,DD 90+p,2
SUB IYq,8,10,2,2,FD 90+q,2
XOR (HL),7,8,2,4,AE,1
XOR (IX+o),19,21,5,7,DD AE o,3
XOR (IY+o),19,21,5,7,FD AE o,3
XOR n,7,8,2,2,EE n,2
XOR r,4,5,1,1,A8+r,1
XOR IXp,8,10,2,2,DD A8+p,2
XOR IYq,8,10,2,2,FD A8+q,2
