instruction,description
NEG,"NEGate. Subtracts the contents of the accumulator from zero, making it negative for the purpose of two's complement. P/V is set if A previously held $80. C is set if accumulator did not previously hold $00."
NOP,"No OPeration. Does 'nothing' (just usual housekeeping like refreshing memory and advancing program counter to next instruction)."
OR,"Performs the bitwise OR operator."
OTDR,"Out and Decrement Repeated. except that it outputs instead of inputs and B is decremented before the output instead of after. Condition check on B is performed after, so that if OTIR starts with B=0 it loops 256 times."
OTIR,"Out and Increment Repeated. Behaves like INIR except that it outputs instead of inputs and B is decremented before the output instead of after. Condition check on B is performed after, so that if OTIR starts with B=0 it loops 256 times."
OUT,"Outputs a byte value from the 16-bit port number given in BC."
OUTD,"Out and Decrement. Behaves like IND, except that it outputs instead of inputs and B is decremented before the output instead of after. Condition check on B is performed after, so that if OTIR starts with B=0 it loops 256 times."
OUTI,"Out and Increment. Behaves like INI, except it outputs instead of inputs and B is decremented before the output instead of after. Condition check on B is performed after, so that if OTIR starts with B=0 it loops 256 times."
POP,"Pops the given argument from the stack. This can be any 16-bit register pair except SP. The current value at SP is copied to the register pair and then SP is raised by 2. Popping into AF does set value of flag register F directly to low 8 bits of value from stack."
PUSH,"Pushes the given argument on the stack. This can be any 16-bit register pair except SP. SP is reduced by 2 and then the argument is written to the new location SP points to."
RES,"Resets the numbered bit on target value."
RET,"RETurn. POPs the PC from the stack, returning from a previous CALL. This can also accept the same conditions as JP."
RETI,"RETurn from Interrupt. Returns from an interrupt service routine (same as RET instruction, but also does signal to I/O device that the interrupt routine is completed)."
RETN,"RETurn from Non-maskable interrupt. Returns from a non-maskable interrupt service routine."
RL,"Rotate Left. Rotates the target bitwise left by one position. The MSB is copied to Carry. The previous contents of Carry are copied to bit 0. Can be applied to any 8-bit register or to a location in memory pointed to by HL or indexed via IX or IY. The final alternative is undocumented, and stores the result in a register as well as performing the operation."
RLA,"Same as RL except it only works on A, is faster, and does not alter S, Z or P/V."
RLC,"Rotate Left Circular. Rotates the target bitwise left by one position. The MSB is copied to bit 0, and also to Carry. Can be applied to any 8-bit register or to a location in memory pointed to by HL or indexed via IX or IY. The final alternative is undocumented, and stores the result in a register as well as performing the operation."
RLCA,"Same as RLC except it only works on A, is faster, and does not alter S, Z or P/V."
RLD,"Rotate Left bcd Digit. Rotates the lower nibble of the byte pointed to by HL, the upper nibble of that byte, and the lower nibble of A, in that order."
RR,"Rotate Right. Rotates the target bitwise right by one position. The LSB is copied to Carry."
RRA,"Same as RR except it only works on A, is faster, and does not alter S, Z or P/V."
RRC,"Rotate Right Circular. Rotates the target bitwise right by one position. The LSB is copied to the MSB, and also to Carry. Can be applied to any 8-bit register or to a location in memory pointed to by HL or indexed via IX or IY. The final alternative is undocumented, and stores the result in a register as well as performing the operation."
RRCA,"Same as RRC except it only works on A, is faster, and does not alter S, Z or P/V."
RRD,"Rotate Right bcd Digit. Same as RLD, but the order is: the lower nibble pointed to by HL, the lower nibble of the A, and the upper nibble of the byte."
RST,"ReSTart. Performs a CALL to a routine located at one of eight fixed locations ($00, $08, ..., $38) in the zero page. This is located in ROM, and on the Spectrum only a limited number of values are useful to call built-in ROM routines."
SBC,"SuBtract with Carry, er, borrow. Subtracts values, subtracting an additional 1 if Carry is set. Legal combinations are the same as for ADD, although there are no extended opcode versions of SBC and in 16-bit values the first parameter can only be HL. For 16-bit values the H flag is set if borrow from bit 12; otherwise, it is reset."
SCF,"Set Carry Flag. Sets the carry flag."
SET,"SET bit. Sets the numbered bit on target value."
SLA,"Shift Left Arithmetic. Shifts the target bitwise left by one position. The MSB is copied to Carry. 0 is copied to bit 0."
SRA,"Shift Right Arithmetic. Shifts the target bitwise right by one position. The MSB is copied to itself. Bit 0 is copied to Carry."
SRL,"Shift Right Logical. Shifts the target bitwise right by one position. The LSB is copied to Carry. 0 is copied into the MSB."
SUB,"Subtracts a value from A."
XOR,"Performs the bitwise XOR operator."
